n,y,power,intimacy
2,are,4,1
2,are,4,1
1,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
1,are,4,1
2,are,4,1
2,are,4,1
2,are,4,1
1,are,4,1
1,are,4,1
2,are,4,0
2,are,4,0
1,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
2,are,4,0
1,are,4,0
2,are,4,0
1,are,3,1
2,are,3,1
0,are,3,1
2,are,3,1
2,are,3,1
0,are,3,1
2,are,3,1
2,are,3,1
1,are,3,1
1,are,3,1
1,are,3,1
1,are,3,1
2,are,3,1
1,are,3,1
0,are,3,1
1,are,3,1
1,are,3,0
2,are,3,0
1,are,3,0
2,are,3,0
2,are,3,0
0,are,3,0
2,are,3,0
2,are,3,0
1,are,3,0
1,are,3,0
2,are,3,0
2,are,3,0
2,are,3,0
2,are,3,0
0,are,3,0
2,are,3,0
0,are,2,1
1,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
1,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,1
0,are,2,0
1,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
1,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,2,0
0,are,1,1
1,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,1
0,are,1,0
1,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
0,are,1,0
1,zero,4,1
0,zero,4,1
0,zero,4,1
1,zero,4,1
1,zero,4,1
0,zero,4,1
2,zero,4,1
0,zero,4,1
0,zero,4,1
2,zero,4,1
1,zero,4,1
0,zero,4,1
0,zero,4,1
1,zero,4,1
0,zero,4,1
0,zero,4,1
2,zero,4,0
0,zero,4,0
0,zero,4,0
1,zero,4,0
1,zero,4,0
0,zero,4,0
1,zero,4,0
1,zero,4,0
0,zero,4,0
2,zero,4,0
0,zero,4,0
0,zero,4,0
0,zero,4,0
0,zero,4,0
0,zero,4,0
0,zero,4,0
1,zero,3,1
0,zero,3,1
1,zero,3,1
2,zero,3,1
1,zero,3,1
1,zero,3,1
2,zero,3,1
2,zero,3,1
2,zero,3,1
2,zero,3,1
1,zero,3,1
0,zero,3,1
0,zero,3,1
1,zero,3,1
0,zero,3,1
0,zero,3,1
1,zero,3,0
0,zero,3,0
0,zero,3,0
1,zero,3,0
1,zero,3,0
1,zero,3,0
1,zero,3,0
2,zero,3,0
2,zero,3,0
2,zero,3,0
1,zero,3,0
0,zero,3,0
0,zero,3,0
1,zero,3,0
0,zero,3,0
0,zero,3,0
2,zero,2,1
2,zero,2,1
2,zero,2,1
1,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,1
2,zero,2,0
2,zero,2,0
1,zero,2,0
1,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,2,0
2,zero,1,1
2,zero,1,1
2,zero,1,1
1,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,1
2,zero,1,0
2,zero,1,0
2,zero,1,0
1,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
2,zero,1,0
1,har,4,1
2,har,4,1
2,har,4,1
1,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
1,har,4,1
1,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
2,har,4,1
1,har,4,0
2,har,4,0
1,har,4,0
1,har,4,0
2,har,4,0
2,har,4,0
2,har,4,0
2,har,4,0
1,har,4,0
2,har,4,0
2,har,4,0
2,har,4,0
2,har,4,0
1,har,4,0
2,har,4,0
2,har,4,0
2,har,3,1
2,har,3,1
2,har,3,1
2,har,3,1
2,har,3,1
1,har,3,1
2,har,3,1
1,har,3,1
2,har,3,1
2,har,3,1
2,har,3,1
2,har,3,1
2,har,3,1
1,har,3,1
1,har,3,1
2,har,3,1
2,har,3,0
2,har,3,0
1,har,3,0
2,har,3,0
2,har,3,0
1,har,3,0
2,har,3,0
2,har,3,0
2,har,3,0
2,har,3,0
2,har,3,0
2,har,3,0
2,har,3,0
1,har,3,0
1,har,3,0
2,har,3,0
1,har,2,1
0,har,2,1
1,har,2,1
0,har,2,1
1,har,2,1
0,har,2,1
1,har,2,1
1,har,2,1
2,har,2,1
2,har,2,1
0,har,2,1
2,har,2,1
0,har,2,1
0,har,2,1
0,har,2,1
0,har,2,1
1,har,2,0
0,har,2,0
2,har,2,0
0,har,2,0
1,har,2,0
0,har,2,0
1,har,2,0
2,har,2,0
2,har,2,0
2,har,2,0
1,har,2,0
2,har,2,0
0,har,2,0
1,har,2,0
0,har,2,0
0,har,2,0
0,har,1,1
0,har,1,1
1,har,1,1
0,har,1,1
0,har,1,1
0,har,1,1
0,har,1,1
1,har,1,1
2,har,1,1
2,har,1,1
0,har,1,1
2,har,1,1
0,har,1,1
0,har,1,1
0,har,1,1
0,har,1,1
0,har,1,0
